,TaskId,ResourceId
321,322,R66
322,323,37
323,324,38
324,325,28
325,326,40
326,327,26
327,328,29
328,329,30
329,330,36
330,331,31
331,332,33
332,333,26
333,334,37
334,335,28
335,336,38
336,337,34
337,338,R54A
338,339,41
339,340,30
340,341,39
341,342,29
342,343,40
343,344,33
344,345,27
345,346,42
346,347,32
347,348,31
348,349,37
349,350,36
350,351,41
351,352,28
352,353,26
353,354,36
354,355,38
355,356,42
356,357,35
357,358,29
358,359,33
359,360,26
360,361,28
361,362,R53
362,363,33
363,364,31
364,365,29
365,366,41
366,367,R65
367,368,30
368,369,35
369,370,26
370,371,39
371,372,40
372,373,38
373,374,R49
374,375,37
375,376,29
376,377,R43
377,378,28
378,379,30
379,380,36
380,381,34
381,382,26
382,383,32
383,384,R13
384,385,29
385,386,33
386,387,42
387,388,R19
388,389,31
389,390,26
390,391,29
391,392,33
392,393,31
393,394,30
394,395,28
395,396,30
396,397,35
397,398,33
398,399,30
399,400,40
400,401,42
401,402,29
402,403,30
403,404,26
404,405,31
405,406,28
406,407,37
407,408,32
408,409,38
409,410,27
410,411,33
411,412,41
412,413,R21
413,414,R10
414,415,36
415,416,30
416,417,29
417,418,31
418,419,28
419,420,39
420,421,26
421,422,41
422,423,33
423,424,29
424,425,31
425,426,38
426,427,29
427,428,28
428,429,30
429,430,42
430,431,33
431,432,39
432,433,26
433,434,R63
434,435,31
435,436,29
436,437,30
437,438,37
438,439,28
439,440,33
440,441,30
441,442,31
442,443,26
443,444,28
444,445,29
445,446,33
446,447,33
447,448,31
448,449,30
449,450,27
450,451,34
451,452,32
452,453,28
453,454,37
454,455,42
455,456,36
456,457,39
457,458,40
458,459,41
459,460,31
460,461,29
461,462,38
462,463,R54A
463,464,26
464,465,35
465,466,42
466,467,28
467,468,36
468,469,30
469,470,40
470,471,33
471,472,35
472,473,26
473,474,31
474,475,29
475,476,37
476,477,28
477,478,33
478,479,33
479,480,27
480,481,32
481,482,30
482,483,34
483,484,R52
484,485,42
485,486,R54A
486,487,31
487,488,R08
488,489,29
489,490,26
490,491,38
491,492,R61
492,493,30
493,494,R22
494,495,28
495,496,33
496,497,R68
497,498,41
498,499,39
499,500,26
500,501,29
501,502,31
502,503,28
503,504,30
504,505,33
505,506,26
506,507,29
507,508,28
508,509,35
509,510,31
510,511,30
511,512,40
512,513,42
513,514,28
514,515,34
515,516,33
516,517,29
517,518,26
518,519,39
519,520,37
520,521,28
521,522,35
522,523,38
523,524,32
524,525,31
525,526,30
526,527,27
527,528,26
528,529,36
529,530,33
530,531,29
531,532,30
532,533,41
533,534,28
534,535,31
535,536,40
536,537,28
537,538,29
538,539,33
539,540,26
540,541,R67
541,542,33
542,543,26
543,544,33
544,545,29
545,546,30
546,547,28
547,548,29
548,549,37
549,550,R11
550,551,31
551,552,40
552,553,37
553,554,26
554,555,30
555,556,R65
556,557,42
557,558,33
558,559,28
559,560,29
560,561,39
561,562,41
562,563,35
563,564,31
564,565,38
565,566,30
566,567,27
567,568,37
568,569,28
569,570,34
570,571,31
571,572,32
572,573,36
573,574,26
574,575,29
575,576,41
576,577,42
577,578,40
578,579,33
579,580,36
580,581,30
581,582,28
582,583,26
583,584,35
584,585,38
585,586,R44
586,587,29
587,588,31
588,589,40
589,590,30
590,591,38
591,592,28
592,593,37
593,594,31
594,595,27
595,596,33
596,597,R50
597,598,33
598,599,26
599,600,R43
600,601,29
601,602,34
602,603,42
603,604,30
604,605,28
605,606,32
606,607,R51
607,608,31
608,609,41
609,610,38
610,611,26
611,612,39
612,613,29
613,614,37
614,615,R54A
615,616,33
616,617,27
617,618,28
618,619,32
619,620,35
620,621,36
621,622,33
622,623,29
623,624,30
624,625,28
625,626,31
626,627,26
627,628,28
628,629,31
629,630,27
630,631,33
631,632,26
632,633,42
633,634,28
634,635,30
635,636,39
636,637,31
637,638,29
638,639,36
639,640,32
640,641,37
641,642,41
642,643,26
643,644,35
644,645,38
645,646,31
646,647,40
647,648,28
648,649,29
649,650,33
650,651,30
651,652,35
652,653,36
653,654,32
654,655,33
655,656,26
656,657,31
657,658,26
658,659,28
659,660,29
660,661,30
661,662,31
662,663,33
663,664,39
664,665,37
665,666,35
666,667,29
667,668,31
668,669,30
669,670,28
670,671,35
671,672,38
672,673,26
673,674,32
674,675,36
675,676,41
676,677,33
677,678,28
678,679,29
679,680,34
680,681,R23
681,682,30
682,683,35
683,684,33
684,685,27
685,686,34
686,687,37
687,688,31
688,689,30
689,690,40
690,691,30
691,692,26
692,693,28
693,694,39
694,695,38
695,696,29
696,697,R48A
697,698,33
698,699,36
699,700,26
700,701,42
701,702,31
702,703,29
703,704,33
704,705,31
705,706,26
706,707,27
707,708,R16
708,709,28
709,710,31
710,711,R21
711,712,28
712,713,R25
713,714,38
714,715,R46
715,716,R54A
716,717,30
717,718,33
718,719,42
719,720,35
720,721,31
721,722,36
722,723,29
723,724,34
724,725,41
725,726,33
726,727,37
727,728,32
728,729,40
729,730,39
730,731,28
731,732,30
732,733,31
733,734,26
734,735,29
735,736,32
736,737,33
737,738,28
738,739,31
739,740,33
740,741,28
741,742,30
742,743,33
743,744,42
744,745,31
745,746,29
746,747,35
747,748,36
748,749,26
749,750,27
750,751,39
751,752,30
752,753,28
753,754,32
754,755,34
755,756,31
756,757,35
757,758,R61
758,759,38
759,760,40
760,761,26
761,762,29
762,763,36
763,764,33
764,765,30
765,766,28
766,767,33
767,768,36
768,769,31
769,770,26
770,771,29
771,772,30
772,773,41
773,774,38
774,775,28
775,776,35
776,777,31
777,778,29
778,779,36
779,780,33
780,781,26
781,782,38
782,783,41
783,784,30
784,785,37
785,786,33
786,787,36
787,788,29
788,789,26
789,790,31
790,791,30
791,792,34
792,793,34
793,794,39
794,795,27
795,796,32
796,797,42
797,798,38
798,799,28
799,800,26
800,801,41
801,802,31
802,803,40
803,804,37
804,805,R46
805,806,33
806,807,39
807,808,29
808,809,26
809,810,42
810,811,40
811,812,30
812,813,28
813,814,29
814,815,38
815,816,37
816,817,33
817,818,R54A
818,819,26
819,820,31
820,821,41
821,822,30
822,823,32
823,824,33
824,825,R12
825,826,28
826,827,R52
827,828,29
828,829,33
829,830,R13
830,831,R48A
831,832,42
832,833,31
833,834,35
834,835,30
835,836,29
836,837,39
837,838,34
838,839,26
839,840,40
840,841,33
841,842,27
842,843,36
843,844,38
844,845,37
845,846,31
846,847,41
847,848,26
848,849,29
849,850,27
850,851,31
851,852,41
852,853,28
853,854,30
854,855,33
855,856,29
856,857,28
857,858,30
858,859,R53
859,860,31
860,861,30
861,862,42
862,863,41
863,864,35
864,865,29
865,866,28
866,867,31
867,868,30
868,869,40
869,870,38
870,871,36
871,872,33
872,873,37
873,874,26
874,875,39
875,876,41
876,877,R14
877,878,28
878,879,34
879,880,R17
880,881,29
881,882,27
882,883,32
883,884,26
884,885,42
885,886,35
886,887,33
887,888,36
888,889,30
889,890,31
890,891,34
891,892,28
892,893,29
893,894,30
894,895,26
895,896,33
896,897,R16
897,898,31
898,899,35
899,900,39
900,901,28
901,902,29
902,903,33
903,904,30
904,905,28
905,906,35
906,907,R49
907,908,31
908,909,33
909,910,42
910,911,R45
911,912,30
912,913,29
913,914,40
914,915,36
915,916,35
916,917,32
917,918,29
918,919,26
919,920,38
920,921,37
921,922,34
922,923,40
923,924,28
924,925,R43
925,926,30
926,927,31
927,928,R18
928,929,41
929,930,27
930,931,R52
931,932,33
932,933,42
933,934,R20
934,935,39
935,936,R23
936,937,35
937,938,41
938,939,37
939,940,40
940,941,28
941,942,29
942,943,26
943,944,39
944,945,38
945,946,34
946,947,42
947,948,31
948,949,33
949,950,29
950,951,30
951,952,37
952,953,40
953,954,35
954,955,31
955,956,32
956,957,36
957,958,26
958,959,42
959,960,28
960,961,41
961,962,34
962,963,R68
963,964,39
964,965,33
965,966,30
966,967,29
967,968,28
968,969,27
969,970,26
970,971,26
971,972,28
972,973,29
973,974,33
974,975,30
975,976,31
976,977,36
977,978,41
978,979,33
979,980,31
980,981,30
981,982,42
982,983,29
983,984,31
984,985,33
985,986,27
986,987,37
987,988,36
988,989,39
989,990,30
990,991,R50
991,992,34
992,993,35
993,994,27
994,995,28
995,996,33
996,997,32
997,998,29
998,999,26
999,1000,31
1000,1001,38
1001,1002,41
1002,1003,40
1003,1004,30
1004,1005,42
1005,1006,28
1006,1007,37
1007,1008,26
1008,1009,31
1009,1010,29
1010,1011,26
1011,1012,R66
1012,1013,32
1013,1014,40
1014,1015,31
1015,1016,36
1016,1017,35
1017,1018,34
1018,1019,28
1019,1020,29
1020,1021,30
1021,1022,27
1022,1023,31
1023,1024,33
1024,1025,R45
1025,1026,38
1026,1027,30
1027,1028,33
1028,1029,37
1029,1030,29
1030,1031,26
1031,1032,33
1032,1033,38
1033,1034,32
1034,1035,30
1035,1036,35
1036,1037,R49
1037,1038,29
1038,1039,28
1039,1040,R48B
1040,1041,33
1041,1042,35
1042,1043,R10
1043,1044,41
1044,1045,40
1045,1046,31
1046,1047,39
1047,1048,28
1048,1049,36
1049,1050,30
1050,1051,42
1051,1052,26
1052,1053,34
1053,1054,37
1054,1055,27
1055,1056,28
1056,1057,29
1057,1058,40
1058,1059,39
1059,1060,34
1060,1061,31
1061,1062,26
1062,1063,30
1063,1064,41
1064,1065,33
1065,1066,42
1066,1067,28
1067,1068,31
1068,1069,R25
1069,1070,33
1070,1071,29
1071,1072,35
1072,1073,32
1073,1074,40
1074,1075,36
1075,1076,42
1076,1077,37
1077,1078,30
1078,1079,R53
1079,1080,41
1080,1081,29
1081,1082,27
1082,1083,28
1083,1084,31
1084,1085,26
1085,1086,39
1086,1087,38
1087,1088,27
1088,1089,28
1089,1090,35
1090,1091,33
1091,1092,26
1092,1093,29
1093,1094,30
1094,1095,29
1095,1096,33
1096,1097,30
1097,1098,31
1098,1099,36
1099,1100,28
1100,1101,41
1101,1102,37
1102,1103,26
1103,1104,34
1104,1105,29
1105,1106,27
1106,1107,42
1107,1108,33
1108,1109,31
1109,1110,41
1110,1111,30
1111,1112,29
1112,1113,37
1113,1114,39
1114,1115,28
1115,1116,40
1116,1117,26
1117,1118,38
1118,1119,32
1119,1120,34
1120,1121,31
1121,1122,30
1122,1123,35
1123,1124,28
1124,1125,33
1125,1126,29
1126,1127,26
1127,1128,31
1128,1129,29
1129,1130,31
1130,1131,33
1131,1132,33
1132,1133,35
1133,1134,34
1134,1135,28
1135,1136,26
1136,1137,30
1137,1138,28
1138,1139,31
1139,1140,39
1140,1141,29
1141,1142,33
1142,1143,26
1143,1144,42
1144,1145,34
1145,1146,35
1146,1147,28
1147,1148,26
1148,1149,30
1149,1150,31
1150,1151,37
1151,1152,33
1152,1153,34
1153,1154,36
1154,1155,29
1155,1156,26
1156,1157,38
1157,1158,41
1158,1159,40
1159,1160,30
1160,1161,35
1161,1162,32
1162,1163,27
1163,1164,37
1164,1165,39
1165,1166,31
1166,1167,28
1167,1168,29
1168,1169,33
1169,1170,R25
1170,1171,36
1171,1172,42
1172,1173,39
1173,1174,26
1174,1175,35
1175,1176,33
1176,1177,37
1177,1178,28
1178,1179,41
1179,1180,26
1180,1181,R18
1181,1182,29
1182,1183,R22
1183,1184,30
1184,1185,42
1185,1186,33
1186,1187,R21
1187,1188,27
1188,1189,R14
1189,1190,31
1190,1191,34
1191,1192,26
1192,1193,36
1193,1194,30
1194,1195,41
1195,1196,29
1196,1197,35
1197,1198,33
1198,1199,38
1199,1200,31
1200,1201,28
1201,1202,39
1202,1203,37
1203,1204,40
1204,1205,29
1205,1206,31
1206,1207,32
1207,1208,28
1208,1209,30
1209,1210,33
1210,1211,31
1211,1212,32
1212,1213,31
1213,1214,33
1214,1215,29
1215,1216,37
1216,1217,42
1217,1218,30
1218,1219,38
1219,1220,26
1220,1221,40
1221,1222,35
1222,1223,28
1223,1224,39
1224,1225,36
1225,1226,41
1226,1227,29
1227,1228,34
1228,1229,R50A
1229,1230,27
1230,1231,33
1231,1232,30
1232,1233,31
1233,1234,26
1234,1235,41
1235,1236,42
1236,1237,29
1237,1238,33
1238,1239,26
1239,1240,28
1240,1241,30
1241,1242,29
1242,1243,40
1243,1244,31
1244,1245,28
1245,1246,33
1246,1247,38
1247,1248,30
1248,1249,36
1249,1250,42
1250,1251,26
1251,1252,29
1252,1253,31
1253,1254,37
1254,1255,39
1255,1256,33
1256,1257,38
1257,1258,28
1258,1259,29
1259,1260,33
1260,1261,34
1261,1262,39
1262,1263,26
1263,1264,30
1264,1265,27
1265,1266,36
1266,1267,31
1267,1268,28
1268,1269,29
1269,1270,32
1270,1271,26
1271,1272,38
1272,1273,39
1273,1274,35
1274,1275,40
1275,1276,37
1276,1277,30
1277,1278,34
1278,1279,28
1279,1280,33
1280,1281,41
1281,1282,32
1282,1283,42
1283,1284,31
1284,1285,31
1285,1286,27
1286,1287,34
1287,1288,36
1288,1289,30
1289,1290,26
1290,1291,38
1291,1292,33
1292,1293,41
1293,1294,30
1294,1295,28
1295,1296,42
1296,1297,40
1297,1298,32
1298,1299,38
1299,1300,R57
1300,1301,35
1301,1302,37
1302,1303,36
1303,1304,31
1304,1305,41
1305,1306,R47
1306,1307,29
1307,1308,26
1308,1309,28
1309,1310,39
1310,1311,29
1311,1312,30
1312,1313,33
1313,1314,31
1314,1315,28
1315,1316,31
1316,1317,R25
1317,1318,R53
1318,1319,29
1319,1320,26
1320,1321,33
1321,1322,33
1322,1323,30
1323,1324,29
1324,1325,26
1325,1326,33
1326,1327,27
1327,1328,42
1328,1329,28
1329,1330,30
1330,1331,26
1331,1332,31
1332,1333,35
1333,1334,41
1334,1335,29
1335,1336,37
1336,1337,39
1337,1338,R50A
1338,1339,36
1339,1340,34
1340,1341,26
1341,1342,28
1342,1343,38
1343,1344,31
1344,1345,30
1345,1346,R62
1346,1347,32
1347,1348,40
1348,1349,35
1349,1350,29
1350,1351,28
1351,1352,33
1352,1353,31
1353,1354,30
1354,1355,29
1355,1356,29
1356,1357,33
1357,1358,40
1358,1359,33
1359,1360,28
1360,1361,31
1361,1362,30
1362,1363,36
1363,1364,29
1364,1365,28
1365,1366,38
1366,1367,29
1367,1368,30
1368,1369,33
1369,1370,28
1370,1371,31
1371,1372,34
1372,1373,26
1373,1374,36
1374,1375,30
1375,1376,26
1376,1377,R19
1377,1378,R24
1378,1379,32
1379,1380,40
1380,1381,41
1381,1382,35
1382,1383,31
1383,1384,28
1384,1385,34
1385,1386,33
1386,1387,42
1387,1388,38
1388,1389,27
1389,1390,29
1390,1391,40
1391,1392,30
1392,1393,28
1393,1394,26
1394,1395,29
1395,1396,31
1396,1397,28
1397,1398,33
1398,1399,31
1399,1400,38
1400,1401,42
1401,1402,26
1402,1403,R60
1403,1404,R15
1404,1405,R08
1405,1406,R50B
1406,1407,R56B
1407,1408,R65
1408,1409,R49
1409,1410,R61
1410,1411,R48A
1411,1412,R14
1412,1413,R17
1413,1414,39
1414,1415,R62
1415,1416,R45
1416,1417,37
1417,1418,41
1418,1419,36
1419,1420,26
1420,1421,27
1421,1422,32
1422,1423,30
1423,1424,28
1424,1425,33
1425,1426,29
1426,1427,31
1427,1428,29
1428,1429,30
1429,1430,29
1430,1431,26
1431,1432,30
1432,1433,R62
1433,1434,41
1434,1435,28
1435,1436,31
1436,1437,34
1437,1438,31
1438,1439,34
1439,1440,26
1440,1441,30
1441,1442,31
1442,1443,29
1443,1444,30
